curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2015/2016,2015,EDUCACIÓ PRIMÀRIA,EDUCACIÓ PRIMÀRIA,NA,5449,2652,2797,0,16
2015/2016,2015,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,78052,37540,40512,2743,1082
2015/2016,2015,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,76315,36942,39373,2673,1071
2015/2016,2015,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,74153,36066,38087,2639,1063
2015/2016,2015,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,69951,34658,35293,2600,1060
2015/2016,2015,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,NA,3025,1528,1497,0,12
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ALEMANY - C1,1,193,120,73,6,4
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ALEMANY - NIVELL AVANÇAT,1,829,537,292,35,24
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ALEMANY - NIVELL AVANÇAT,2,666,413,253,32,24
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ALEMANY - NIVELL BÀSIC,1,2727,1572,1155,72,31
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ALEMANY - NIVELL BÀSIC,2,1834,1128,706,59,31
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ALEMANY - NIVELL INTERMEDI,1,1522,928,594,59,30
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS,1,2557,1725,832,0,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS,2,1250,838,412,0,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS - C1,1,3343,2236,1107,63,42
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS - NIVELL AVANÇAT,1,6312,4150,2162,203,46
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS - NIVELL AVANÇAT,2,7745,5017,2728,188,46
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS - NIVELL BÀSIC,1,2377,1543,834,80,44
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS - NIVELL BÀSIC,2,4598,3014,1584,161,46
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ANGLÈS - NIVELL INTERMEDI,1,7892,5117,2775,210,46
2015/2016,2015,ENSENYAMENTS D'IDIOMES,CATALÀ PER A NO CATALANOPARLANTS - C1,1,99,70,29,7,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,CATALÀ PER A NO CATALANOPARLANTS - C2,1,262,195,67,3,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,CATALÀ PER A NO CATALANOPARLANTS - NIVELL AVANÇAT,1,71,58,13,4,5
2015/2016,2015,ENSENYAMENTS D'IDIOMES,CATALÀ PER A NO CATALANOPARLANTS - NIVELL BÀSIC,1,138,87,51,6,5
2015/2016,2015,ENSENYAMENTS D'IDIOMES,CATALÀ PER A NO CATALANOPARLANTS - NIVELL BÀSIC,2,66,43,23,3,3
2015/2016,2015,ENSENYAMENTS D'IDIOMES,CATALÀ PER A NO CATALANOPARLANTS - NIVELL INTERMEDI,1,88,62,26,7,6
2015/2016,2015,ENSENYAMENTS D'IDIOMES,COREÀ  - NIVELL BÀSIC,1,72,56,16,0,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,COREÀ  - NIVELL BÀSIC,2,42,32,10,0,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,COREÀ  - NIVELL INTERMEDI,1,28,21,7,0,1
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ESPANYOL PER A PERSONES ESTRANGERES - NIVELL AVANÇAT,1,256,194,62,1,4
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ESPANYOL PER A PERSONES ESTRANGERES - NIVELL AVANÇAT,2,154,128,26,1,5
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ESPANYOL PER A PERSONES ESTRANGERES - NIVELL BÀSIC,1,383,250,133,3,5
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ESPANYOL PER A PERSONES ESTRANGERES - NIVELL BÀSIC,2,436,309,127,2,5
2015/2016,2015,ENSENYAMENTS D'IDIOMES,ESPANYOL PER A PERSONES ESTRANGERES - NIVELL INTERMEDI,1,446,328,118,4,5
2015/2016,2015,ENSENYAMENTS D'IDIOMES,FRANCÈS  - NIVELL BÀSIC,1,2335,1530,805,90,39
2015/2016,2015,ENSENYAMENTS D'IDIOMES,FRANCÈS  - NIVELL BÀSIC,2,2008,1357,651,86,39
2015/2016,2015,ENSENYAMENTS D'IDIOMES,FRANCÈS - C1,1,418,292,126,13,11
2015/2016,2015,ENSENYAMENTS D'IDIOMES,FRANCÈS - NIVELL AVANÇAT,1,1216,885,331,50,31
2015/2016,2015,ENSENYAMENTS D'IDIOMES,FRANCÈS - NIVELL AVANÇAT,2,1104,782,322,49,32
2015/2016,2015,ENSENYAMENTS D'IDIOMES,FRANCÈS - NIVELL INTERMEDI,1,2019,1421,598,77,38
2015/2016,2015,ENSENYAMENTS D'IDIOMES,GREC - NIVELL AVANÇAT,1,20,7,13,0,1
